sku,jul,sep,grainger_cat,GC,ag,zg,az,ag_jul,zg_jul,az_jul,grainger,zoro,is_jul,is_sep
sku1,"1 Unavailable","1 Unavailable","Power Transmission",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku10,"2 Marketplace","2 Marketplace",HVAC,"Grainger Choice","3 Grainger Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"4 Both","4 Both"
sku100,"4 SSA","2 Marketplace","Material Handling",Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","4 Same",1,1,"4 Both","4 Both"
sku1000,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1001,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1002,"1 Unavailable","1 Unavailable","Safety & Security","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku1003,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1004,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1005,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1006,"1 Unavailable","1 Unavailable","Safety & Security","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1007,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1008,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1009,"1 Unavailable","1 Unavailable","Safety & Security","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku101,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1010,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1011,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1012,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1013,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1014,"1 Unavailable","1 Unavailable",Metalworking,Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","2 Zoro"
sku1015,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1016,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1017,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku1018,"1 Unavailable","1 Unavailable","Safety & Security","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku1019,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku102,"1 Unavailable","2 Marketplace","Pumps, Plumbing & Test",Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","3 Grainger"
sku1020,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1021,"1 Unavailable","1 Unavailable",Electrical,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku1022,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1023,"1 Unavailable","2 Marketplace",Electrical,"Grainger Choice","3 Grainger Better","5 Zoro Better","3 Zoro Better","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1024,"1 Unavailable","1 Unavailable","Cleaning & Maintenance","Grainger Choice","2 Grainger Only","2 Grainger Only","1 Neither","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,0,"1 None","3 Grainger"
sku1025,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","3 Grainger"
sku1026,"1 Unavailable","1 Unavailable",Metalworking,Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","2 Zoro"
sku1027,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1028,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku1029,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku103,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1030,"1 Unavailable","1 Unavailable","Cleaning & Maintenance","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku1031,"1 Unavailable","2 Marketplace",Electrical,"Grainger Choice","5 Amazon Better","5 Zoro Better","5 Amazon Better","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","1 None"
sku1032,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1033,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","4 Both"
sku1034,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku1035,"1 Unavailable","1 Unavailable","Cleaning & Maintenance","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","3 Grainger"
sku1036,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1037,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1038,"1 Unavailable","1 Unavailable","Material Handling","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku1039,"1 Unavailable","1 Unavailable","Material Handling","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku104,"2 Marketplace","2 Marketplace","Material Handling",Other,"3 Grainger Better","4 Same","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","1 None"
sku1040,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","2 Grainger Only","1 Neither","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,0,"4 Both","3 Grainger"
sku1041,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku1042,"2 Marketplace","2 Marketplace","Power Tools",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"3 Grainger","4 Both"
sku1043,"2 Marketplace","1 Unavailable",Electrical,Other,"2 Grainger Only","2 Grainger Only","1 Neither","5 Amazon Better","3 Grainger Better","5 Amazon Better",1,0,"1 None","3 Grainger"
sku1044,"2 Marketplace","2 Marketplace",Electrical,Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,0,"1 None","1 None"
sku1045,"4 SSA","4 SSA","Pumps, Plumbing & Test",Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku1046,"4 SSA","2 Marketplace","Pumps, Plumbing & Test",Other,"3 Grainger Better","2 Grainger Only","6 Amazon Only","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,0,"4 Both","3 Grainger"
sku1047,"3 FBA","2 Marketplace","Pumps, Plumbing & Test",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku1048,"4 SSA","4 SSA","Safety & Security",Other,"6 Amazon Only","1 Neither","6 Amazon Only","6 Amazon Only","6 Zoro Only","3 Zoro Better",0,0,"1 None","1 None"
sku1049,"4 SSA","4 SSA","Safety & Security",Other,"6 Amazon Only","1 Neither","6 Amazon Only","6 Amazon Only","6 Zoro Only","3 Zoro Better",0,0,"1 None","1 None"
sku105,"2 Marketplace","2 Marketplace",Metalworking,Other,"6 Amazon Only","6 Zoro Only","3 Zoro Better","6 Amazon Only","6 Zoro Only","3 Zoro Better",0,1,"1 None","2 Zoro"
sku1050,"4 SSA","4 SSA","Safety & Security",Other,"6 Amazon Only","6 Zoro Only","3 Zoro Better","6 Amazon Only","6 Zoro Only","3 Zoro Better",0,1,"1 None","1 None"
sku1051,"2 Marketplace","2 Marketplace","Material Handling",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1052,"2 Marketplace","2 Marketplace","Material Handling",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1053,"3 FBA","2 Marketplace","Pumps, Plumbing & Test",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","4 Both"
sku1054,"3 FBA","2 Marketplace","Power Transmission",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","3 Grainger Better","4 Same","3 Zoro Better",1,1,"1 None","1 None"
sku1055,"4 SSA","4 SSA","Safety & Security",Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku1056,"4 SSA","4 SSA","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1057,"3 FBA","4 SSA","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1058,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku1059,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku106,"4 SSA","4 SSA",Electrical,Other,"3 Grainger Better","3 Grainger Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku1060,"3 FBA","2 Marketplace",Metalworking,Other,"3 Grainger Better","2 Grainger Only","6 Amazon Only","3 Grainger Better","3 Grainger Better","3 Zoro Better",1,0,"4 Both","3 Grainger"
sku1061,"3 FBA","2 Marketplace",Metalworking,Other,"6 Amazon Only","1 Neither","6 Amazon Only","3 Grainger Better","3 Grainger Better","3 Zoro Better",0,0,"3 Grainger","1 None"
sku1062,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1063,"2 Marketplace","2 Marketplace","Safety & Security",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","6 Amazon Only","6 Zoro Only","5 Amazon Better",1,0,"1 None","3 Grainger"
sku1064,"4 SSA","2 Marketplace","Material Handling",Other,"3 Grainger Better","3 Grainger Better","5 Amazon Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1065,"4 SSA","2 Marketplace","Material Handling",Other,"5 Amazon Better","3 Grainger Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1066,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1067,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1068,"2 Marketplace","2 Marketplace","Safety & Security",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","6 Amazon Only","6 Zoro Only","3 Zoro Better",1,0,"1 None","3 Grainger"
sku1069,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","4 Same","5 Amazon Better","5 Amazon Better","4 Same","5 Amazon Better",1,1,"1 None","1 None"
sku107,"4 SSA","4 SSA",Electrical,Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku1070,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku1071,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","3 Grainger Better","5 Amazon Better",1,1,"1 None","1 None"
sku1072,"4 SSA","4 SSA","Pumps, Plumbing & Test",Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1073,"4 SSA","4 SSA","Safety & Security",Other,"3 Grainger Better","2 Grainger Only","6 Amazon Only","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,0,"4 Both","3 Grainger"
sku1074,"4 SSA","4 SSA","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku1075,"3 FBA","2 Marketplace",Other,Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","3 Grainger Better","5 Amazon Better",1,1,"1 None","1 None"
sku1076,"3 FBA","2 Marketplace",Other,Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","3 Grainger Better","5 Amazon Better",1,1,"1 None","1 None"
sku1077,"3 FBA","2 Marketplace",Other,Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","3 Grainger Better","5 Amazon Better",1,1,"1 None","1 None"
sku1078,"3 FBA","2 Marketplace",Other,Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","3 Grainger Better","5 Amazon Better",1,1,"1 None","1 None"
sku1079,"4 SSA","4 SSA",Other,Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku108,"4 SSA","4 SSA","Power Transmission",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,0,"4 Both","3 Grainger"
sku1080,"4 SSA","4 SSA","Safety & Security",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,0,"1 None","1 None"
sku1081,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","6 Amazon Only","6 Zoro Only","5 Amazon Better",1,0,"1 None","3 Grainger"
sku1082,"4 SSA","4 SSA","Power Transmission",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku1083,"3 FBA","1 Unavailable","Safety & Security",Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku1084,"3 FBA","2 Marketplace",Metalworking,Other,"6 Amazon Only","1 Neither","6 Amazon Only","3 Grainger Better","3 Grainger Better","3 Zoro Better",0,0,"3 Grainger","1 None"
sku1085,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","6 Amazon Only","6 Zoro Only","3 Zoro Better",1,0,"1 None","1 None"
sku1086,"4 SSA","2 Marketplace","Material Handling",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku1087,"4 SSA","4 SSA",Metalworking,Other,"6 Amazon Only","1 Neither","6 Amazon Only","3 Grainger Better","3 Grainger Better","3 Zoro Better",0,0,"4 Both","1 None"
sku1088,"4 SSA","4 SSA","Pumps, Plumbing & Test",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku1089,"4 SSA","4 SSA","Hand Tools",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku109,"4 SSA","4 SSA","Hand Tools",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,0,"4 Both","3 Grainger"
sku1090,"3 FBA","2 Marketplace",Metalworking,Other,"6 Amazon Only","1 Neither","6 Amazon Only","3 Grainger Better","3 Grainger Better","3 Zoro Better",0,0,"3 Grainger","1 None"
sku1091,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku1092,"4 SSA","2 Marketplace",Electrical,Other,"3 Grainger Better","2 Grainger Only","6 Amazon Only","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,0,"4 Both","3 Grainger"
sku1093,"4 SSA","4 SSA","Pumps, Plumbing & Test",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","4 Both"
sku1094,"2 Marketplace","2 Marketplace",Electrical,Other,"6 Amazon Only","1 Neither","6 Amazon Only","3 Grainger Better","3 Grainger Better","3 Zoro Better",0,0,"4 Both","3 Grainger"
sku1095,"3 FBA","2 Marketplace","Power Tools",Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku1096,"4 SSA","4 SSA","Cleaning & Maintenance",Other,"3 Grainger Better","4 Same","3 Zoro Better","3 Grainger Better","4 Same","3 Zoro Better",1,1,"1 None","1 None"
sku1097,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","6 Amazon Only","6 Zoro Only","5 Amazon Better",1,0,"1 None","3 Grainger"
sku1098,"3 FBA","2 Marketplace","Pumps, Plumbing & Test",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,0,"1 None","1 None"
sku1099,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","6 Amazon Only","6 Zoro Only","5 Amazon Better",1,0,"1 None","3 Grainger"
sku11,"2 Marketplace","2 Marketplace",Other,Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"4 Both","4 Both"
sku110,"2 Marketplace","2 Marketplace","Cleaning & Maintenance",Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku1100,"3 FBA","2 Marketplace",Metalworking,Other,"6 Amazon Only","1 Neither","6 Amazon Only","3 Grainger Better","3 Grainger Better","3 Zoro Better",0,0,"3 Grainger","1 None"
sku1101,"3 FBA","2 Marketplace",Metalworking,Other,"6 Amazon Only","1 Neither","6 Amazon Only","3 Grainger Better","3 Grainger Better","3 Zoro Better",0,0,"3 Grainger","1 None"
sku1102,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1103,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1104,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1105,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1106,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1107,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1108,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1109,"4 SSA","4 SSA","Power Transmission",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku111,"4 SSA","4 SSA","Cleaning & Maintenance",Other,"3 Grainger Better","2 Grainger Only","6 Amazon Only","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,0,"4 Both","3 Grainger"
sku1110,"3 FBA","2 Marketplace","Safety & Security",Other,"3 Grainger Better","2 Grainger Only","6 Amazon Only","6 Amazon Only","6 Zoro Only","3 Zoro Better",1,0,"1 None","3 Grainger"
sku1111,"4 SSA","4 SSA","Pumps, Plumbing & Test",Other,"3 Grainger Better","2 Grainger Only","6 Amazon Only","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,0,"1 None","3 Grainger"
sku1112,"4 SSA","4 SSA","Pumps, Plumbing & Test",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku1113,"4 SSA","4 SSA","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku1114,"3 FBA","2 Marketplace","Pumps, Plumbing & Test",Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,0,"1 None","3 Grainger"
sku1115,"4 SSA","4 SSA","Power Transmission",Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku1116,"3 FBA","2 Marketplace","Cleaning & Maintenance",Other,"3 Grainger Better","2 Grainger Only","6 Amazon Only","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,0,"4 Both","3 Grainger"
sku1117,"2 Marketplace","4 SSA","Material Handling",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","4 Both"
sku1118,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku1119,"3 FBA","2 Marketplace","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku112,"1 Unavailable","1 Unavailable","Cleaning & Maintenance",Other,"2 Grainger Only","3 Grainger Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
